"Category","Question","Answer(s)","Description","Keywords"
"Setup Inicial","Ya tengo un dominio registrado; ¿Lo puedo usar con la tienda ? ¿Cómo se hace?","Como este proceso tiene un par de pasos, lo explicamos con mucho detalle en <a href='http://blog.ombushop.com/post/23543978267/como-administrar-el-dominio-com-ar-de-tu-tienda-online        ' target='_blank'>este artículo</a> de nuestro blog. Si no queda claro, ¡avisanos!","El proceso de cambiar el url de tu tienda online","url, blog, OmbuShop, dominios"
"Setup Inicial","Me han tratado de comprar pero no pueden. ¿Qué pasa?","Asegúrate que tienes configurado los medios de pago y medios de envío. Si ya tienes todo hablitado, contáctanos a hola@ombushop o por chat en nuestro sitio. Queremos solucionar problemas de ventas cuanto antes. ","La causa de un error de la configuración de tu tienda online","medios de pago, medios de envío, administrar tu tienda online"
"Setup Inicial","¿Cómo muestro mi tienda online en Facebook?","1. Entrar al administrador: <a href='http://www.ombushop.com/admin' target='_blank'>Admin de Tu Tienda Online</a> <p>2. Hacer click en <a href=' http://www.ombushop.com/admin/social_networks' target='_blank'> Tu Tienda en Facebook</a>.</p> <p>3. Ahí mismo, autorizar a la aplicación de OmbuShop. </p> <p>4. Agregar la aplicación a tu página de Facebook. ¡Y listo!</p>","El proceso de integrar tu tienda online con tu página de fans en Facebook.","tienda en Facebook, tienda online, ventas en Facebook, OmbuShop"
"Diseño","¿Necesito ser diseñador o programador para armar mi tienda?","Para nada. La programación ya hicimos toda. Puedes subir tus productos y logo y quedarte con el diseño clasico de tu tienda, o puedes elegir una plantilla para cambiar el diseño un poco. Si quieres customizar la tienda totalmente, necesitas un amigo diseñador web o te podemos poner un contacto con un diseñador de nuestro programa de partners. ","El rol del diseñador web en la customización de tu tienda online","diseño web, diseño, tu tienda online"
"Diseño","¿Qué es Liquid?"," <a href='http://www.ombushop.com/liquid-api/index.html' target='_blank'> Liquid</a> es una plantilla de código abierto hecha para que las plataformas de eCommerce sean totalmente customizadas. Está integrada con las plantillas de OmbuShop y la puedes tocar para cambiar lo que quieras del diseño de tu tienda. ","Sobre la API Liquid para customizar el diseño de tu tienda online. ","Liquid, eCommerce, OmbuShop, tiendas virtuales"
"Diseño","¿Ustedes brindan servicio personalizado para ajustar algunos detalles de mi tienda?","Nosotros brindamos servicios personalizados que varian de ajustar detalles de tu tienda a customizarla por completo. Solo necesitamos más información sobre lo qué precises; mándanos un mail a hola@ombushop.com y te responderemos enseguida! ","Nuestros servicios de customización del diseño de tu tienda online. ","diseño, ventas por Internet, OmbuShop"
"Diseño","¿Me explican un poco mejor cómo funciona el sitio para diseñadores? ","Como OmbuShop es la plataforma más amigable de los diseñadores web, no tienen que pagar nada. Pueden usar nuestra <a href='http://www.ombushop.com/liquid-api/index.html' target='_blank'>API de plantillas Liquid</a> para crear tiendas para sus clientes, ¡y además ganan una comisión muy linda de por vida! Lee más sobre nuestro <a href='http://www.ombushop.com/partners   ' target='_blank'>Programa de Partners</a> ¡y inscríbete! ","Cómo los diseñadores web pueden ganar usando la plataforma de OmbuShop para sus clientes. ","Liquid, eCommerce, OmbuShop, tiendas virtuales, programa de partners"
"Diseño","¿El CSS es modificable?","Sí, de hecho toda la plataforma es totalmente customizable. Si quieres que tu tienda online tenga el mismo look-and-feel de tu sitio, se puede tocar tanto el CSS como el HTML y Javascript para que sea así. Puedes modificar <a href=""https://secure.ombushop.com/admin/styles"">nuestras plantillas</a> un poco o cambiarlas por completo. ","Lo que se puede modificar para customizar el diseño de tu tienda online","CSS, HTML, Javascript, tienda online"
"Diseño","¿Cómo creo formularios para mi tienda?","Para crear formularios puedes usar <a href=”http://drive.google.come”>Google Drive</a> o <a href=”http://www.wufoo.com”>Wufoo</a> que son servicios especializados en formularios. Para agregar un formulario, tendrás que editar <a href=""https://secure.ombushop.com/admin/templates"">alguno de los templates</a> o <a href=""http://www.ombushop.com/admin/pages"">alguna de las páginas</a> para incluirlo. ","Cómo agregar un formulario a tu tienda online. ","formulario, Wufoo, Google, templates de OmbuShop"
"Diseño","¿Cuentan con una API? ","Sí, contamos con una <a href='http://www.ombushop.com/liquid-api/index.html' target='_blank'>API para diseñadores</a>. Esta API es para ajustar todo el estilo de la tienda (HTML, CSS, Javascript).","La API de OmbuShop para diseñadores web.","API, Liquid, OmbuShop"
"Diseño","¿Se puede incorporar imagenes a las páginas?","Para incorporar imágenes puedes editar cada uno de los productos y agregar fotos de los mismos. Si quieres agregar imágenes para el diseño de tu tienda, puedes ir a la sección de <a href='http://www.ombushop.com/admin/design_files' target='_blank'>Archivos de Diseño</a>. ","Cómo se puede agregar imagenes a tu tienda online. ","imagenes, fotos, productos, diseño, tienda online"
"Pedidos","¿Qué tienen que hacer mis clientes para comprar mis productos? ","Para comprar, deben ir a tu tienda y elegir los productos que quieran. Para cada producto, deben clickear Comprar y luego seguir los pasos de Checkout.","El proceso de comprar de tu tienda online","comprar online, ventas online, eCommerce"
"Pedidos","¡Me llegó un pedido! ¿Qué hago?","¡Festejas! Pero en serio, puedes ver todos los detalles del pedido y administralos en el <a href='https://secure.ombushop.com/admin' target='_blank'>panel de administración</a> bajo la pestaña Pedidos. Deberías asegurarte de que hayas recibo el pago si fue por algún medio de pago electrónico y después enviar el producto al cliente (si no lo retira en local). Cuando recibes el pago y envias el producto, no te olvides de marcarlo en Pedidos para mantener tu registro de pedidos actualizado. ","El proceso de administrar los pedidos que se hacen en tu tienda online/ ","pedidos, pagos, envíos, eCommerce, ventas por Internet"
"Pedidos","¿Cómo funciona el tema de los envíos?","Cada tienda en la plataforma se encarga de entregar sus productos al consumidor. Puede ser por correo o retiro en local. La plataforma ofrece una variedad de calculadoras para calcular el costo de envío. En base a la zona de envío de tu cliente, tendrá la opción de usar uno o más medios de envío (que a su vez utilizan estas calculadoras). <p/>Si quieres leer un poco más sobre las calculadoras, aquí escribimos un artículo: <a href='http://blog.ombushop.com/post/26992317866/calculadoras-de-envio-para-envios-flexibles' target='_blank'>Calculadores de Envío para Envíos Flexibles</a>.","Cómo se puede calcular el costo de envío para cobrarselo a los compradores de tu tienda online","eCommerce, ventas en Internet, calculadora de costo de envío"
"Medios de pago","¿Cuales son los medios de pago que puedo ofrecerles a mis clientes?","La plataforma está integrado con <a href=”http://www.mercadopago.com”>MercadoPago</a> y <a href=http://www.dineromail.com”>”DineroMail</a>. <p/>Puedes elegir el que te guste más para ofrecerles medios de pago como tarjetas de crédito y débito, PagoFácil y otros. Tambien puedes aceptar efectivo.","Los medios de pago integrados en la plataforma de OmbuShop","medios de pago, dineromail, mercado pago, eCommcere"
"Medios de pago","¿Puedo aceptar efectivo para las compras en mi tienda?","Sí, no hay problema. Puedes ofrecerles a los compradores pago contra entrega.","El efectivo como medio de pago en tu tienda online","efectivo, pago contra entrega, ventas en Internet"
"Medios de pago","¿Puedo ofrecer financiación de cuotas? ","En caso de pago con tarjetas de crédito, débito o PagoFácil, la financiación la deberá pagar el comprador. Para ciertos bancos la financiación es con 0% de interés, depende del banco que haya emitido la tarjeta. El dinero entra directamente a tu cuenta en <a href=http://www.dineromail.com”>”DineroMail</a> o <a href=”http://www.mercadopago.com”>MercadoPago</a>, el procesador de pagos que tu quieras.","Los opciones para ofrecerles cuotas a los clientes de tu tienda online","medios de pago, dineromail, mercado pago, eCommcere"
"Medios de pago","¿Qué necesito para aceptar pagos? ¿Una página?","Para aceptar pagos, no necesitas una página. Tu tienda en nuestra plataforma puede actuar como la página principal de tu empresa donde muestras tus productos y compartir información sobre la marca, el equipo de la empresa, y mucho más. Para aceptar los medios de pago que no sean efectivo, ¡sólo necesitas una <a href='www.ombushop.com/#signup-form' target='_blank'>dirección de mail</a>!","Los requisitos para crear tu tienda online con la plataforma de OmbuShop","OmbuShop, crear tu tienda online, ventas por Internet "
"Medios de pago","¿Puedo poner mi teléfono y la dirección de mi tienda para que puedan ir directamente a comprar mi producto?","Sí, puedes poner toda tu información de contacto en tu sitio para que vayan directamente a comprar tu producto.","Sobre tu información de contacto en tu tienda online","tienda online, OmbuShop, eCommerce"
"Medios de pago","¿Cuando la gente paga con tarjeta, DineroMail u otros medios dónde recibo yo el pago por esto?","Tu tienda está integrada con <a href=http://www.dineromail.com”>”DineroMail</a> y <a href=”http://www.mercadopago.com”>MercadoPago</a>. Los dos son servicios web que te permiten recibir todos los pagos en tu cuenta online. Para recibir el dinero te ofrecen varias alternativas. <p>Ver: <a href='https://ar.dineromail.com/costos' target='_blank'>Costos de DineroMail</a> y <a href='https://www.mercadopago.com/mla/ayuda/cuanto-cuesta-recibir-pagos' target='_blank'>Costos de MercadoPago</a></p>. <p>Depende de la opción que elijas, puedes recibir el dinero vía transferencia bancaria, retirando un cheque en una sucursal bancaria, recibiendo un giro postal o recibiendo un cheque por correo.</p> <p>Nosotros le recomendamos a nuestras tiendas que reciban el dinero por transferencia bancaria, ya que el costo es el menor de todos.</p> ","Cómo cobras las ventas de los productos en tu tienda online. ","medios de pago, dineromail, mercado pago, eCommcere"
"Medios de pago","¿Qué tengo que hacer para activar los medios de pago online?","Para activar los medios de pagos, entra a tu <a href='https://secure.ombushop.com/admin' target='_blank'>panel de administración</a>, haz click en Configuración y seguir los pasos que figuran ahí. ","Cómo empezar a vender por Internet con medios de pago virtuales","medios de pago, eCommerce, ventas por Internet"
"Tu Cuenta","¿Qué costo tiene la plataforma?","Cobramos un monto mensual más una pequeña comisión por venta realizada. Los montos y el porcentage de la comisión dependen del plan que elijas; los puedes ver aquí: <a href='http://www.ombushop.com/planes-y-precios-para-tu-tienda-virtual' target='_blank'>Precios de OmbuShop</a>.","El costo de crear tu tienda online en la plataforma de OmbuShop","tienda online, OmbuShop, eCommerce"
"Tu Cuenta","¿Cómo pago?","Puedes pagarnos por <a href=http://www.dineromail.com”>”DineroMail</a>, <a href=”http://www.mercadopago.com”>MercadoPago</a> o por transferencia bancaria. Puedes pagar por 6 o 12 meses juntos y recibir un descuento del 10 o 20% respectivamente. ","Cómo pagar por tu tienda online en OmbuShop","medios de pago, dineromail, mercado pago, eCommcere"
"Tu Cuenta","¿Cómo me cobran? ","Para efectuar el pago, hay un botón en la sección 'Mi Cuenta', dentro de tu <a href='https://secure.ombushop.com/admin' target='_blank'>panel de administración</a>. De esta manera realizas el pago sin salir de tu cuenta de OmbuShop. 
Si todavía no has pagado te enviaremos un mail como recordatorio al comienzo de cada mes. ¡Puedes pagar 6 ó 12 meses juntos y aprovechar un descuento!","Cómo efecturar el pago a OmbuShop.","medios de pago, eCommerce, ventas por Internet"
"Tu Cuenta","¿Cuando me comienzan a cobrar? Me inscribí para probar la plataforma, pero quiero estar seguro de que no se me cobrara nada hasta que tome la desición de hacer la tienda con OmbuShop. ","Nosotros no te cobraremos sin contactarte al fin del periodo de prueba para ver si quieres seguir o no. Puedes seguir probando la plataforma sin ningún compromiso. ","Cómo funciona el periodo de prueba de OmbuShop","periodo de prueba, OmbuShop, tu tienda online"
"Tu Cuenta","¿Se puede poner contraseña a algunas páginas para controlar el acceso al sitio? ","No, por el momento las únicas páginas restringidas son las de administración
(/www.ombushop.com/admin).","Las páginas restringidas dentro de la plataforma de OmbuShop","OmbuShop, crear tu tienda online, ventas por Internet "
"Programación","¿Con qué lenguaje de programación puedo hacer un formulario de contacto para una de las secciones de mi plantilla?","Para hacer cualquier cosa de programación, utilizamos Liquid. Este lenguaje de templates te permite hacer todo lo que podrías hacer con PHP, Java o lo que sea. Aquí un par de links: <p><a href=""https://github.com/Shopify/liquid/wiki/ES-Liquid-para-dise%C3%B1adores"">1. Introducción a Liquid para Diseñadores</a></p> <p> 2. <a href=""http://www.ombushop.com/liquid-api/index.html#Variables_Disponibles_por_Template"">Introducción a la API de OmbuShop para customizaciones</a></p> <p>Para el caso específico de un formulario de contacto, te recomendamos usar <a href=""http://wufoo.com/"">Wufoo</a> o <a href=""https://docs.google.com"">Google Forms</a> que son super flexibles al momento de administrar los campos del form. ","Cómo hace cosas de programación para tu tienda online","Liquid, API de Liquid, PHP, Java"
"Programación","¿Cómo puedo acceder a los parámetros dentro de la dirección web? ","Para hacer eso puedes utilizar la variable global 'parameters' (ver: <a href=""http://www.ombushop.com/liquid-api/index.html#parameters""> Parametros en OmbuShop</a>). <p>Podés hacer un GET request, a través de un link, que sea algo así: http://demo.ombushop.com/products?limit=3.</p><p> Luego en el template podés acceder a ese parameter e incluirlo en la paginación así: {% paginate products by parameters['limit'] %} . Eso debería funcionar. </p>","Cómo utilizar la variable global parameters dentro de OmbuShop","parameters, GET request, OmbuShop"
"Programación","¿Cómo puedo incluir un newsletter en mi tienda online? ","Muchas de nuestras tiendas usan <a href=”http://www.mailchimp.com”>Mailchimp</a> para manejar sus mailings. Te provee widgets y snippets para incluir formularios en las páginas de tu tienda virtual. ","Cómo agregar un newsletter a tu tienda online","newsletter, Mailchimp, email marketing, ventas por Internet"
"DNS","¿Cómo puedo hacer para que mi tienda virtual tenga mi propio dominio web? ","Para que empiece a funcionar con tu tienda en OmbuShop, primero tienes que  registrar con tu mail para <a href=""http://www.ombushop.com/#signup-form"">crear tu tienda online</a>. <p>Luego tienes que crear un CNAME en Namecheap que apunte a tu tienda. Para el CNAME 'www' puedes hacer que apunte a pepe.ombushop.com, por ejemplo (en lugar de ""pepe"" debería estar el nombre de tu tienda).
<p>Dentro de OmbuShop tienes que ir a <a href=""https://secure.ombushop.com/admin/configurations"">Configuración</a> en tu panel de administración e ingresar pepe.ombushop.com en Dirección Personalizada y luego Guardar. </p> <p>En Namecheap tienes que: <br>1. Entrar a tu cuenta</br> <br>2. Ir a Domains > Manage Domains</br> <br>3. Ir a URL Forwarding</br> <br>4. Cambiar el registro WWW para que sea un CNAME y tenga la URL pepe.ombushop.com</br><br> 5. Clickear Save Changes.</br> <p>Con eso debería quedar configurada tu cuenta para que use OmbuShop. </p>","Cómo configurar tu propio dominio con tu tienda online de OmbuShop","DNS, dominio, OmbuShop"
"Marketing","Ya armé mi tienda pero necesito ayuda para seguir, ¿qué consejo me dan?","Puedes leer muchos consejos nuestros en el <a href=""http://www.ombushop.com/blog"">blog de OmbuShop</a>. Si quieres ayuda con el marketing de tu tienda, ofrecemos servicios adicionales.","Nuestros consejos para vender más con tu tienda online","ventas por Internet, eCommerce, blog, tu tienda online"
"Contenido","¿Cómo pongo los productos en categorias?","Tienes que editar el producto y elegir las categorías en la pestaña a la izquierda que dice 'categorías'","El proceso de poner tus productos en categorías dentro de tu tienda online","productos, categorias, tienda online"
"Contenido","¿Cuál es el tamaño máximo aceptado para las fotos de mis productos?","4 Megas. Recomendamos que cada una de las fotos pese menos de 1 Mega.","El tamaño recomendable para los fotos en tu tienda online","fotos, productos, tienda online"
"Diseño","¿Cómo se verá mi tienda en dispositivos móviles? ","Nuestras tiendas se ven muy bien en dispositivos móviles pero admitimos que la calidad no tan alta como en un browser. Además, como la plataforma es totalmente customizada, ¡un diseñador web puede ajustarla para que se vea aún mejor en dispositivos móviles!","Tu tienda online en dispositivos móviles","diseño responsive, tu tienda online,  dispositivos móviles"
"Contenido","¿Puedo agregarle un blog a mi tienda?","Totalmente. Se puede integrar las plataformas blog como Tumblr y Wordpress sin problemas. ","Tu tienda online integrada con un blog.","tumblr, wordpress, blog, tienda online"
"Marketing","¿Es simple incluir iconos de medios sociales?","La plataforma ya viene con los botones 'Me Gusta' y 'Pin It' en la página de cada producto. Se puede agregar cualquier botón que quieras pero estamos muy interesados en saber cuales otros botones quieres que agregamos a todas las tiendas para que podamos hacerte la vida aún más facil!","Los botones sociales en tu tienda online","vender en Facebook, Pinterest, tienda en Facebook, tienda online"
"Marketing","¿Puedo hacer alguna acción automática con mi cliente una vez que compre?","Por el momento eso no es posible. La única alternativa que existe con cada nueva venta es hacer la acción manualmente, por ejemplo agregarlo manualmente a la lista de Mailchimp. ","Los pasos siguientes después de una compra en tu tienda online","newsletter, Mailchimp, email marketing, ventas por Internet"
"Marketing","¿Se puede customizar el mail que le llega al cliente al confirmar su compra?","Estamos trabajando en hacer los mails customizables, de la misma forma que hoy se pueden customizar las páginas de tu tienda en la sección de <a href=""http://www.ombushop.com/admin/templates"" >Templates de OmbuShop</a>. ","Sobre los mails automáticos de OmbuShop","mails automáticos, customización de tu tienda online, templates de OmbuShop"
"Marketing","¿Por qué mi tienda no aparece en los buscadores, por ejemplo Google?","Para que tu tienda aparezca en Google, tienes que compartir el link mucho, por ejemplo en Facebook, Pinterest, Google+, etc. Por como construimos las plataforma, las tiendas son fácilmente indexables por los buscadores, pero si el link no aparece en ningún otro lugar, Google no lo encuentra fácil. <p></p><p>Recomendamos <a href=""http://www.educajoomla.com/como-promocionar-mi-tienda-online.html"">este artículo</a> detallado sobre cómo llevar más trafico a tu sitio que explica bien cómo funciona el SEO (Search Engine Optimization) y lo que se puede hacer para mejorar el positionamiento de tu tienda online en los buscadores.</p> ","Cómo hacer que tu tienda aparezca en los buscadores","Google, SEO, ventas por Internet"
"Marketing","¿Cómo difunden el tráfico a las tiendas de OmbuShop? ","La plataforma se construyó con SEO en mente, las páginas son fácilmente indexables. Así que lo único que le pedimos a las tiendas es que publiquen la dirección de la misma cuando estén listos para vender.
<p/>
Además, ofrecemos servicios VIP para manejar las campañas de publicidad online de las tiendas. Tratamos de ofrecerles algo accesibles a todos nuestros clientes, teniendo en cuenta sus presupuestos por mes.

<p>Por último, estamos trabajando en integraciones con <a href=”http://www.shopear.net”>Shopear</a>, <a href=”http://vitryn.com/”>Vitryn</a> y <a href=”http://www.pinterest.com”>Pinterest</a>, para dirigir tráfico de estas redes a las tiendas y así generar más ventas.</p>","Cómo hacer que lleguen más visitas a tu tienda online. ","SEO, redes sociales, Shopear, Vitryn, Pinterest"
"Contenido","Estoy tratando de subir fotos de mis productos pero no puedo ¿Por qué? ","Si la foto es demasiado grande la plataforma te muestra una página de error. Las fotos tienen que pesar menos de 4 megas.","El error de fotos grandes de tu tienda online","fotos, productos, tienda online"
"Uso","Cuando trato de registrarme, me dice 'Correo no válido.' ¿Por qué?","Muy de vez en cuando el sistema no entiende un correo. Si te pasa eso, escríbinos a hola@ombushop.com con el correo con lo cual quieres registrate y te lo solucionaremos.","Lo que hay que hacer si el sistema no acepta tu mail para crear tu tienda online","correo, mail, registrarte en OmbuShop"
"Operaciones","¿Debo pagar impuestos por la venta de mis productos?","Depende de tu posición fiscal. Eso queda a cargo del dueño de la tienda.","La política de impuestos para tu tienda online","impuestos, tienda online, eCommerce"
"Programación","¿Cómo hago para que aparezca un link a la home en la barra del menu?","Puedes agregar un link a la home, escribiendo el código <a href=""/"">Home</a> donde quieras en los templates de tu tienda. Esto lo puedes hacer en tu panel de administración (Diseño > Templates > Editar).","El proceso de agregar un link a la home de tu tienda online","links, template, diseño, tienda online"
"Programación","¿Cómo puedo mostrar información específica en una sólo página de mi tienda?","<p>Para incluir contenido en una sólo página, tienes que agregar código a la template especificando en qué página se encontrará el contenido.</p> <p>Por ejemplo:</p> <p> {% if current_path == '/pagina-de-contacto' %}</p> <p>Ahora te encuentras en la página de contacto de tu tienda. {% endif %}</p>","Cómo mostrar información en base a la dirección de la página","productos, páginas, tu tienda online"
"Uso","¿Debo tener una marca propia para vender en la plataforma?","No, puedes vender lo que tengas el derecho legal de vender, siempre y cuando no esté prohibido por la ley aplicable.","Los requisitos para vender por Internet con OmbuShop","vender por Internet, eCommerce"
"Uso","¿El servicio también incluye servicio de entrega de los productos a los clientes?","Nuestro servicio es sólo la plataforma de ventas pero tenemos contactos que ofrecen servicios de entrega y te podemos poner en contacto con ellos. ","Los detalles del servicio de OmbuShop","plataforma de eCommerce, ventas por Internet"
"Pagos","¿Después del término de prueba, cómo se cobra?","Después de los 15 días nos pondremos en contacto contigo para ver si quieres seguir usando la plataforma. Para que la tienda siga activa después de la prueba, pagarás tu primer cuota dentro de <a href=”https://secure.ombushop.com/admin/users/configuration”>Mi Cuenta</a>. Nos puedes pagar con <a href=http://www.dineromail.com”>”DineroMail</a>, <a href=”http://www.mercadopago.com”>MercadoPago</a>, o transferencia bancaria. ","La forma de pagar por tu tienda online después de los 15 días de prueba. ","dineromail, mercadopago, eCommerce, OmbuShop"
